PID	Code	Description	Size	Units	Value	Bldg#	CollectedOn
786	FPL3	2 STORY CHIM	1.00	UNITS	4000	1	2024-11-26
786	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-26
787	FPL1	FIREPLACE 1 ST	1.00	UNITS	3400	2	2024-11-26
787	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-26
788	FPL2	1.5 STORY CHIM	1.00	UNITS	3200	1	2024-11-26
789	FPL	FIREPLCE/MET F	1.00	UNITS	1200	1	2024-11-26
789	HRTH	HEARTH-INC FLU	1.00	UNITS	1200	1	2024-11-26
792	FPL2	1.5 STORY CHIM	1.00	UNITS	3800	1	2024-11-26
792	FLU2	FLUE BRICK	1.00	UNITS	700	1	2024-11-26
792	GNRA	SV GENERATOR	1.00	UNITS	4700	1	2024-11-26
795	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-26
797	FPL2	1.5 STORY CHIM	1.00	UNITS	4000	1	2024-11-26
797	HRTH	HEARTH-INC FLU	1.00	UNITS	1600	1	2024-11-26
797	NFP2	NONFCTG FPL2	2.00	UNITS	4300	1	2024-11-26
799	FPL2	1.5 STORY CHIM	2.00	UNITS	8100	1	2024-11-26
800	FPL	FIREPLCE/MET F	3.00	UNITS	4700	1	2024-11-26
801	FPL2	1.5 STORY CHIM	1.00	UNITS	3600	1	2024-11-26
801	HRTH	HEARTH-INC FLU	1.00	UNITS	1400	1	2024-11-26
804	FPL3	2 STORY CHIM	1.00	UNITS	3600	1	2024-11-26
804	NFPO	NONFNCTG FPO	2.00	UNITS	900	1	2024-11-26
804	GNRA	SV GENERATOR	1.00	UNITS	4000	1	2024-11-26
806	FPL3	2 STORY CHIM	1.00	UNITS	4500	1	2024-11-26
