"Municipality
(U) Unincorporated Place",Date,Valuation,"Valuation Including
Utilities",Municipal Tax Rate,"County Tax
Rate","State Education
Tax Rate","Local Education
Tax Rate",Total Tax Rate,Total Commitment
Sandown,10/24/23,"1,129,936,470","1,139,191,070",3.35,0.61,1.26,15.68,20.90,"23,586,183"
Sandwich,11/14/23,"447,920,888","456,657,988",5.25,1.37,1.89,6.91,15.42,"6,919,149"
Sargent's Purchase (U),01/23/24,"2,461,220","2,461,220",-2.92,2.92,1.32,-1.32,0.00,0
Seabrook,12/07/23,"2,171,380,850","3,476,040,200",7.05,0.77,1.53,5.74,15.09,"50,049,880"
Second College Grant (U),01/22/24,"1,746,630","1,746,630",-2.84,2.84,1.50,-1.50,0.00,0
Sharon,11/13/23,"58,276,077","58,998,077",5.72,1.15,1.58,14.82,23.27,"1,366,945"
Shelburne,11/22/23,"58,994,950","83,907,050",5.19,3.80,1.45,7.17,17.61,"1,437,882"
Somersworth,11/21/23,"1,124,114,851","1,146,259,651",8.91,2.65,1.85,15.89,29.30,"33,214,939"
South Hampton,11/17/23,"262,299,023","267,893,523",3.18,0.55,1.10,8.97,13.80,"3,675,536"
Springfield,11/21/23,"237,783,368","246,365,668",5.24,2.88,1.80,13.35,23.27,"5,727,403"
Stark,10/25/23,"63,220,709","76,020,179",3.59,5.31,1.63,10.19,20.72,"1,521,625"
Stewartstown,11/15/23,"182,905,306","205,467,806",1.94,2.52,0.93,9.29,14.68,"2,978,785"
Stoddard,11/28/23,"292,774,810","304,771,910",3.08,3.56,1.89,8.45,16.98,"5,175,876"
Strafford,10/24/23,"709,980,100","724,963,900",3.19,2.55,1.56,11.34,18.64,"13,446,753"
Stratford,11/09/23,"72,730,998","106,045,898",5.29,4.02,1.31,8.49,19.11,"1,975,396"
Stratham,11/07/23,"1,581,528,237","1,608,852,837",3.15,0.86,1.77,15.13,20.91,"33,316,647"
Success (U),01/22/24,"15,181,393","15,255,993",1.34,3.21,1.47,-1.46,4.56,"69,458"
Sugar Hill,11/20/23,"167,288,317","170,288,917",8.90,1.82,2.30,9.74,22.76,"3,855,374"
Sullivan,10/25/23,"61,384,776","66,103,176",8.82,3.24,1.78,18.96,32.80,"2,153,535"
Sunapee,11/17/23,"2,365,856,812","2,396,653,812",2.15,2.19,1.13,4.21,9.68,"23,089,809"
Surry,10/11/23,"131,586,939","137,506,939",2.53,2.26,1.25,9.98,16.02,"2,176,662"
Sutton,10/26/23,"321,697,618","326,580,608",7.21,2.42,1.89,13.85,25.37,"8,202,620"
Swanzey,11/02/23,"623,563,769","645,064,402",7.55,3.63,1.81,13.88,26.87,"17,104,691"
Tamworth,11/03/23,"393,807,996","402,519,178",7.19,1.38,2.03,14.63,25.23,"10,051,475"
Temple,11/15/23,"165,040,661","167,831,861",5.83,1.25,1.85,15.86,24.79,"4,121,588"
Thomson & Meserve's Purchase (U),01/22/24,"7,381,950","7,413,950",0.02,3.38,1.55,-1.54,3.41,"25,232"
