Municipality,Year,"RSA 79-A Current
Use
Land","RSA 79-B Conservation Restriction 
Land
","RSA 79-C Discretionary Easement 
Land","RSA 79-D Discretionary Preservation Easement
Land","RSA 79-F
Land
Under
Farm Structures","Residential 
Land","Commercial / Industrial
Land","Residential
Buildings",Manufactured Housing,"Commercial / Industrial
Buildings","RSA 79-D
Discretionary
Preservation Easement 
Buildings ","RSA 79-F
Farm Structures
","Public
Water
Utilities","Gas / Oil
Utilities","Electric
Utilities",Other,"Mature
Wood
Timber","Gross
Valuation","Educational
& Special Exemptions","Modified
Assessed
Valuation
","Blind
Exemption","Elderly
Exemption","Local
Optional Exemptions
","Net
Valuation","Gross
Property
Taxes
","Less
Veterans'
Credits

","Net
Tax
Commitment","2022
Tax
Rate","2022
Residents
Tax",CollectedOn
Deering,2022,1104712,1576,0,0,0,93755225,2716300,118421538,6486200,11550200,0,0,0,0,12541600,0,0,246577351,0,246577351,0,2033400,354860,244189091,5539374,48400,5490974,22.75,0,2024-03-19
Derry,2022,762774,0,41240,0,0,1359737765,222822450,2638083080,44756400,564594065,0,0,4653332,5339571,54619524,69900,0,4895480101,1798047,4893682054,380000,26149500,0,4867152554,90661385,526667,90134718,19.04,0,2024-03-19
Dix's Grant,2022,304228,0,0,0,0,116000,0,588090,0,0,0,0,0,0,0,0,0,1008318,0,1008318,0,0,0,1008318,1,,1,0.00,0,2024-03-19
Dixville,2022,708480,0,0,0,0,574500,950700,2301690,28800,4040312,0,0,0,0,22716328,0,0,31320810,0,31320810,0,0,0,31320810,7761,,7761,0.25,0,2024-03-19
Dorchester,2022,1117138,1710,0,0,0,17361100,30900,24704600,1482500,93800,0,0,0,0,1241300,0,0,46033048,0,46033048,0,0,66420,45966628,1061545,9800,1051745,23.13,0,2024-03-19
Dover,2022,744332,0,0,0,0,1277204408,247288280,2560731400,43759700,991709300,0,0,0,47489000,53891200,0,0,5222817620,419900,5222397720,2158000,50406000,10108500,5159725220,100407156,1015875,99391281,19.84,0,2024-03-19
Dublin,2022,919371,0,0,4100,0,91123700,10209900,147191252,472600,28842400,13767,0,0,0,3474500,0,0,282251590,300000,281951590,15000,235000,1274280,280427310,6998100,78625,6919475,24.97,0,2024-03-19
Dummer,2022,1060198,0,0,0,0,11629500,78800,21119000,989400,452500,0,0,0,15272300,48825200,0,0,99426898,0,99426898,0,280000,210000,98936898,1581377,9250,1572127,16.80,0,2024-03-19
Dunbarton,2022,736887,0,0,0,0,110682036,1440014,263436244,610000,3856456,0,0,0,0,25630300,0,0,406391937,0,406391937,0,314000,635600,405442337,9282976,62965,9220011,22.98,0,2024-03-19
Durham,2022,673253,1132,0,0,0,280813400,119292900,524778319,171000,260173510,0,0,0,5928100,65161400,0,0,1256993014,8000,1256985014,120000,3675000,2946052,1250243962,36017672,129500,35888172,29.04,0,2024-03-19
East Kingston,2022,367602,0,0,0,0,135720200,2943700,230014200,1854000,5663800,0,0,153700,17398800,8038400,0,0,402154402,0,402154402,30000,587800,343800,401192802,9113672,73200,9040472,22.80,0,2024-03-19
Easton,2022,218899,0,0,0,0,27536600,286700,47594698,0,427400,2802,0,0,0,1153000,0,0,77220099,0,77220099,0,0,0,77220099,922042,3150,918892,11.96,0,2024-03-19
Eaton,2022,837738,478,0,0,0,52109600,1479000,84242100,63400,3941900,0,0,0,0,1556100,0,0,144230316,0,144230316,0,0,0,144230316,1550346,21000,1529346,10.76,0,2024-03-19
Effingham,2022,745398,0,0,200,0,76599500,5492900,100976332,7817800,19133100,11937,0,0,0,4216500,0,0,214993667,0,214993667,0,170000,168600,214655067,5054359,49750,5004609,23.57,0,2024-03-19
Ellsworth,2022,87399,0,0,0,0,7923900,190700,10324500,85100,627100,0,0,0,0,457400,0,0,19696099,196200,19499899,0,0,0,19499899,295469,1200,294269,15.18,0,2024-03-19
Enfield,2022,732335,7840,0,0,0,228437900,16294100,310101200,14539400,32926300,0,0,0,0,8877600,0,0,611916675,348995,611567680,15000,1039900,658925,609853855,15281703,68600,15213103,25.75,0,2024-03-19
Epping,2022,715186,0,0,0,0,247602600,60590500,508258700,24757200,121869300,0,0,85000,4339700,13562200,0,0,981780386,0,981780386,60000,6122000,0,975598386,21918005,316000,21602005,22.49,0,2024-03-19
Epsom,2022,1470931,0,0,2800,0,154311400,22346700,264265081,22219000,48453900,63179,0,0,0,7655700,0,0,520788691,0,520788691,0,944800,709463,519134428,12366518,162550,12203968,23.84,0,2024-03-19
Errol,2022,501352,0,0,0,0,34278100,1452500,41078870,1249590,4716310,0,0,0,0,8751900,0,0,92028622,0,92028622,0,0,0,92028622,1198711,3300,1195411,13.15,0,2024-03-19
Erving's Grant,2022,50409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50409,0,50409,0,0,0,50409,454,,454,9.01,0,2024-03-19
Exeter,2022,161204,0,2800,1800,0,558973005,139510595,1155073590,57402700,390495566,111800,0,282500,23271900,22485600,0,0,2347773060,988700,2346784360,90000,27547790,4958900,2314187670,55327772,301750,55026022,24.75,0,2024-03-19
Farmington,2022,844162,14274,282388,0,0,155712300,19325100,301323000,34007700,55936100,0,0,0,0,11335300,0,0,578780324,0,578780324,60000,9244800,1275900,568199624,13677074,291000,13386074,24.18,0,2024-03-19
Fitzwilliam,2022,988342,0,0,11050,10,137690700,10139600,238419537,24106400,22613900,34319,20544,0,0,65850108,0,0,499874510,40700,499833810,15000,1559000,397600,497862210,8113288,86575,8026713,16.41,0,2024-03-19
Francestown,2022,924092,1930,0,0,0,75056104,3504700,130201259,479600,9871000,0,0,0,0,3441500,0,0,223480185,0,223480185,0,80000,528840,222871345,5754660,33400,5721260,25.84,0,2024-03-19
Franconia,2022,568001,0,0,0,0,150610900,11460900,222320300,1462700,27698100,0,0,0,0,5987800,0,0,420108701,0,420108701,0,25000,421956,419661745,5113587,19500,5094087,12.20,0,2024-03-19
Franklin,2022,694582,39208,0,300,0,197550300,24523500,261407460,24706100,125496700,22440,0,0,4401800,62268630,0,0,701111020,379623,700731397,15000,6109572,467910,694138915,16752922,134625,16618297,24.39,0,2024-03-19
Freedom,2022,699551,0,0,450,0,283645400,6386400,325285401,29889700,11006800,71499,0,181900,0,4645000,0,0,661812101,0,661812101,0,175000,20000,661617101,6762696,30950,6731746,10.23,0,2024-03-19
Fremont,2022,548587,0,0,100,0,151626930,6720970,349361750,13591400,23357550,11100,0,110400,0,7369800,0,0,552698587,0,552698587,0,2080000,175000,550443587,12754987,221375,12533612,23.19,0,2024-03-19
Gilford,2022,750530,3070,0,0,0,869831240,71913900,1444522400,33448900,163502100,0,0,545640,515500,19146500,0,0,2604179780,403460,2603776320,30000,1964400,0,2601781920,31849802,236000,31613802,12.25,0,2024-03-19
Gilmanton,2022,1838082,1470,0,0,0,220350100,2290600,322716100,875200,5850500,0,0,0,0,7777300,0,0,561699352,325200,561374152,0,1766300,292100,559315752,13396533,120100,13276433,23.97,0,2024-03-19
Gilsum,2022,456849,0,0,0,0,18528000,1071000,43891551,988500,5434800,0,0,0,0,2532100,0,0,72902800,0,72902800,0,190000,1012200,71700600,1686666,4500,1682166,23.57,0,2024-03-19
Goffstown,2022,811100,0,100,85700,0,587081000,68876200,902225500,24416200,112453300,95700,0,0,3653200,74772000,0,0,1774470000,353100,1774116900,90000,13088600,1118800,1759819500,46187135,443000,45744135,26.31,0,2024-03-19
Gorham,2022,335265,0,0,0,0,35802500,28255440,165325400,11018200,71643140,0,0,0,20015700,53097900,0,0,385493545,0,385493545,15000,429500,97400,384951645,9264888,27200,9237688,24.25,0,2024-03-19
Goshen,2022,743197,0,0,1000,0,31060700,1058200,44590050,2488405,1543780,2450,0,0,0,1741360,0,0,83229142,0,83229142,15000,100000,8000,83106142,1828634,22500,1806134,22.03,0,2024-03-19
Grafton,2022,1331460,0,0,0,0,62115100,662800,67636500,4844000,2657700,0,0,0,0,3184900,0,0,142432460,0,142432460,0,250000,194050,141988410,3758808,45500,3713308,26.50,0,2024-03-19
Grantham,2022,414133,0,0,0,0,112002900,8756900,618974588,1953800,12948870,0,0,0,0,6627000,0,0,761678191,416200,761261991,0,544500,290788,760426703,12495319,67250,12428069,16.44,0,2024-03-19
Greenfield,2022,817776,8133,0,0,0,56289500,2680200,105361749,1624400,12449700,0,0,0,0,3817800,0,0,183049258,0,183049258,15000,300000,785580,181948678,5530069,18900,5511169,30.42,0,2024-03-19
Greenland,2022,444200,0,98800,0,0,353711100,46036800,370085100,0,90464500,0,0,0,8492100,18466365,0,0,887798965,491800,887307165,15000,2135000,622500,884534665,15962142,189500,15772642,18.09,0,2024-03-19
Green's Grant,2022,0,0,0,0,0,0,1846300,14200,0,6190110,0,0,0,0,138300,0,0,8188910,0,8188910,0,0,0,8188910,61960,,61960,7.59,0,2024-03-19
Greenville,2022,196944,0,0,0,0,26339200,5011600,53293700,12033000,19036800,0,0,0,0,4999900,0,0,120911144,0,120911144,15000,257200,0,120638944,3345256,68000,3277256,27.79,0,2024-03-19
Groton,2022,756066,62425,0,0,0,30527300,133200,58496000,4860700,725900,0,0,0,0,14630460,0,0,110192051,0,110192051,0,220000,30000,109942051,975380,21000,954380,9.09,0,2024-03-19
Hadley's Purchase,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.00,0,2024-03-19
Hale's Location,2022,0,0,0,0,0,30555600,1023400,44462100,0,5646500,0,0,0,0,364800,0,0,82052400,0,82052400,0,0,0,82052400,284262,10000,274262,3.47,0,2024-03-19
Hampstead,2022,72614,0,0,3400,0,468957900,53207200,687312533,46773200,99240300,15367,0,2215700,0,9384700,0,0,1367182914,870600,1366312314,150000,11415200,200000,1354547114,32059900,361500,31698400,23.68,0,2024-03-19
Hampton,2022,97000,0,0,2700,0,1221260983,179002317,2093113976,20055600,278615424,118900,0,37051900,28186100,94056900,0,0,3951561800,0,3951561800,150000,27089700,2250000,3922072100,61905795,834100,61071695,15.84,0,2024-03-19
Hampton Falls,2022,388516,0,0,4400,0,187508900,15030700,260494800,377800,36626300,41400,0,0,127600,6786400,0,0,507386816,0,507386816,0,3260000,504100,503622716,10561430,67500,10493930,20.99,0,2024-03-19
Hancock,2022,1201575,850,0,0,0,105150800,1293800,178427847,389200,4010700,0,0,0,0,7905600,0,0,298380372,0,298380372,0,315000,775691,297289681,6474164,45800,6428364,21.81,0,2024-03-19
Hanover,2022,1577382,0,0,26780,0,715771325,141714000,1276563760,0,557503935,53140,0,0,0,17229700,0,0,2710440022,160000,2710280022,105000,834000,0,2709341022,44364902,60750,44304152,16.41,0,2024-03-19
Harrisville,2022,459857,3911,0,0,0,93916800,1133200,105685966,770700,5225300,0,0,0,0,1918700,0,0,209114434,0,209114434,0,0,0,209114434,3886747,5600,3881147,18.60,0,2024-03-19
Hart's Location,2022,3807,0,0,0,0,6420600,245500,11620700,0,2170400,0,0,0,0,635400,0,0,21096407,0,21096407,0,0,0,21096407,87587,200,87387,4.19,0,2024-03-19
Haverhill,2022,3092880,0,0,3200,0,62729000,16566858,219281880,17072700,67553700,80416,0,0,0,31152300,0,0,417532934,0,417532934,30000,314900,5000,417183034,10472081,156500,10315581,25.19,"16,000",2024-03-19
Hebron,2022,162687,56734,0,0,0,217223500,1854600,173886540,533200,4899500,0,0,0,0,6531900,0,0,405148661,0,405148661,0,0,0,405148661,2761026,8150,2752876,6.83,0,2024-03-19
Henniker,2022,1545187,0,0,29475,0,190133900,40515700,361038198,7267800,118472000,64697,0,0,0,12938500,0,0,732005457,150000,731855457,150000,7355051,999082,723351324,15497267,39800,15457467,21.44,0,2024-03-19
Hill,2022,695434,0,0,0,0,24362000,260500,63853125,2168200,961000,0,0,0,0,3826000,0,0,96126259,0,96126259,0,70000,0,96056259,2494988,20500,2474488,26.03,0,2024-03-19
Hillsborough,2022,1365083,6356,0,47600,0,171408995,17718200,299849365,8488400,65795300,95335,0,0,0,37634915,0,0,602409549,0,602409549,15000,2409425,414327,599570797,15955002,200000,15755002,26.69,0,2024-03-19
