Municipality,Year,DateComputed,Valuation,Valuation w/ Utils,Municipal,County,State Ed.,Local Ed.,Total Rate,Total Commitment,CollectedOn
Success (U),2023,2024-01-22,15181393,15255993,1.34,3.21,1.47,-1.46,4.56,69458,2024-03-16
Sugar Hill,2023,2023-11-20,167288317,170288917,8.90,1.82,2.30,9.74,22.76,3855374,2024-03-16
Sullivan,2023,2023-10-25,61384776,66103176,8.82,3.24,1.78,18.96,32.80,2153535,2024-03-16
Sunapee,2023,2023-11-17,2365856812,2396653812,2.15,2.19,1.13,4.21,9.68,23089809,2024-03-16
Surry,2023,2023-10-11,131586939,137506939,2.53,2.26,1.25,9.98,16.02,2176662,2024-03-16
Sutton,2023,2023-10-26,321697618,326580608,7.21,2.42,1.89,13.85,25.37,8202620,2024-03-16
Swanzey,2023,2023-11-02,623563769,645064402,7.55,3.63,1.81,13.88,26.87,17104691,2024-03-16
Tamworth,2023,2023-11-03,393807996,402519178,7.19,1.38,2.03,14.63,25.23,10051475,2024-03-16
Temple,2023,2023-11-15,165040661,167831861,5.83,1.25,1.85,15.86,24.79,4121588,2024-03-16
Thomson & Meserve's Purchase (U),2023,2024-01-22,7381950,7413950,0.02,3.38,1.55,-1.54,3.41,25232,2024-03-16
Thornton,2023,2023-11-16,462983071,469691671,3.82,1.71,1.70,13.53,20.76,10138680,2024-03-16
Tilton,2023,2023-12-01,607313122,639250722,6.02,1.39,2.05,8.25,17.71,12892205,2024-03-16
Troy,2023,2023-11-29,215790486,239466286,6.41,2.40,1.13,8.14,18.08,4252997,2024-03-16
Tuftonboro,2023,2023-11-13,1856068730,1871661030,2.23,0.92,1.30,2.82,7.27,13444829,2024-03-16
Unity,2023,2023-11-08,134370385,137342985,9.32,2.75,1.82,16.07,29.96,4033636,2024-03-16
Wakefield,2023,2023-11-09,2259239622,2278100822,1.72,0.70,1.10,3.33,6.85,15302244,2024-03-16
Walpole,2023,2023-12-11,705044814,751062314,3.49,2.43,1.17,9.15,16.24,12888425,2024-03-16
Warner,2023,2023-10-27,319526750,327540150,10.28,2.48,1.86,17.10,31.72,10472193,2024-03-16
Warren,2023,2023-11-30,95332431,109838031,6.84,1.48,1.55,12.88,22.75,2454231,2024-03-16
Washington,2023,2023-11-13,366471887,370678338,5.19,2.30,1.33,6.41,15.23,5749939,2024-03-16
Waterville Valley,2023,2023-10-09,500611367,503998167,7.46,1.23,1.25,2.11,12.05,6061970,2024-03-16
Weare,2023,2023-11-07,1255309444,1290670044,3.76,1.02,1.46,12.60,18.84,24048197,2024-03-16
Webster,2023,2023-11-30,348737527,375931527,4.31,1.66,1.28,7.63,14.88,5657632,2024-03-16
Wentworth,2023,2023-11-03,124383085,130659285,8.64,1.53,1.42,13.62,25.21,3234008,2024-03-16
Wentworth's Location (U),2023,2024-01-22,13683150,13849850,3.45,2.16,0.97,0.49,7.07,97757,2024-03-16
Westmoreland,2023,2023-11-06,198510459,201931559,4.49,2.87,1.46,12.47,21.29,4276929,2024-03-16
Whitefield,2023,2023-11-16,221797462,241820262,8.33,4.47,1.81,11.28,25.89,6171986,2024-03-16
Wilmot,2023,2023-10-19,225971024,230225524,6.75,2.13,1.74,13.55,24.17,5523298,2024-03-16
Wilton,2023,2023-11-26,558375622,565548022,7.57,0.99,1.46,12.18,22.20,12373195,2024-03-16
Winchester,2023,2023-12-07,303508761,337723030,8.26,3.37,1.75,18.30,31.68,10481940,2024-03-16
Windham,2023,2023-11-07,3127337390,3160525990,3.82,0.88,1.83,14.87,21.40,67219436,2024-03-16
Windsor,2023,2023-11-06,36745601,37511601,1.32,0.87,1.34,7.39,10.92,401200,2024-03-16
Wolfeboro,2023,2023-11-28,2452341529,2452650429,6.02,1.35,1.84,5.48,14.69,35810462,2024-03-16
Woodstock,2023,2023-10-24,285709419,292244319,8.40,1.92,1.95,7.17,19.44,5623236,2024-03-16
